Closing Price,Opening Price
0.0,895.1821705426356
0.0,826.625284738041
0.0,814.1339779005525
22.58054226475279,770.8553960659224
725.314443132625,761.1739472648563
746.3609527004361,746.2821200939283
732.94551458448,733.0016510731975
764.4766867800329,764.1036752605595
794.5330138445155,794.4941427050053
744.6832,744.8464
661.2175925925926,661.0578703703703
672.1480446927375,672.2960893854748
841.6880819366853,842.0661080074487
793.8070847295356,793.7860220201053
747.838486140725,747.747867803838
689.2016806722689,692.7276322293624
698.9138668295662,698.8063530849114
736.6765853658536,736.1058536585366
721.1014109347443,723.0873015873016
580.3155737704918,586.9931693989071
785.5495420482931,785.4496253122398
788.8462037637897,788.6690460739779
797.9292134831461,797.1820224719102
759.6144244105409,759.242718446602
841.9950207468879,841.4605809128631
774.6213093709885,775.3388960205392
839.4493927125507,838.7044534412955
764.1706758304697,764.2371134020618
871.2915360501568,871.6998432601881
864.13,863.9
879.0856164383562,879.554794520548
